id,university,subject,close,first_result,interview,finale_rusult
223,경희대학교(네오르네상스),건축학과(5년제),9/11~9/15,11월 22일,12/2~12/3,12월 15일
224,경희대학교(네오르네상스),전자공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
225,경희대학교(네오르네상스),컴퓨터공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
226,경희대학교(네오르네상스),생체의공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
227,경희대학교(네오르네상스),소프트웨어융합학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
228,경희대학교(네오르네상스),응용수학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
229,경희대학교(네오르네상스),응용물리학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
230,경희대학교(네오르네상스),응용화학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
231,경희대학교(네오르네상스),우주과학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
232,경희대학교(네오르네상스),유전공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
233,경희대학교(네오르네상스),식품생명공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
234,경희대학교(네오르네상스),한방재료공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
235,경희대학교(네오르네상스),식물환경신소재공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
236,경희대학교(네오르네상스),원예생명공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
237,경희대학교(네오르네상스),의예과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
238,경희대학교(네오르네상스),한의예과(자연),9/11~9/15,11월 22일,12/2~12/3,12월 15일
239,경희대학교(네오르네상스),치의예과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
240,경희대학교(네오르네상스),약학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
241,경희대학교(네오르네상스),한약학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
242,경희대학교(네오르네상스),약과학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
243,경희대학교(네오르네상스),간호학과(자연),9/11~9/15,11월 22일,12/2~12/3,12월 15일
244,경희대학교(네오르네상스),산업디자인학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
